Species,Owner,Country.of.Origin,Altitude,Region,Harvest.Year,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Color,Expiration,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Arabica,metad plc,Ethiopia,1950-2200,guji-hambela,2014,"April 4th, 2015",Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,Green,"April 3rd, 2016",1950.0,2200.0,2075.0
Arabica,grounds for health admin,Guatemala,1600 - 1800 m,huila,2012,"May 31st, 2010",Bourbon,Washed / Wet,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,0.0,Green,"May 31st, 2011",1600.0,1800.0,1700.0
Arabica,yidnekachew dabessa,Ethiopia,1800-2200,oromia,2014,"March 26th, 2015",Caturra,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,0.11,Green,"March 25th, 2016",1800.0,2200.0,2000.0
Arabica,metad plc,Ethiopia,1950-2200,guji-hambela,2014,"April 4th, 2015",Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,Green,"April 3rd, 2016",1950.0,2200.0,2075.0
Arabica,ji-ae ahn,Brazil,1100,huila,2013,"September 3rd, 2013",Caturra,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,0.11,Bluish-Green,"September 3rd, 2014",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,hugo valdivia,Peru,1100,huila,2012,"September 17th, 2012",Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0.11,Bluish-Green,"September 17th, 2013",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,ethiopia commodity exchange,Ethiopia,1570-1700,oromia,Mar-10,"September 2nd, 2010",Caturra,Washed / Wet,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,0.03,Green,"September 2nd, 2011",1570.0,1700.0,1635.0
Arabica,ethiopia commodity exchange,Ethiopia,1570-1700,oromiya,Mar-10,"September 2nd, 2010",Caturra,Washed / Wet,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0.03,Green,"September 2nd, 2011",1570.0,1700.0,1635.0
Arabica,diamond enterprise plc,Ethiopia,1795-1850,"snnp/kaffa zone,gimbowereda",2014,"March 30th, 2015",Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,Green,"March 29th, 2016",1795.0,1850.0,1822.5
Arabica,mohammed lalo,Ethiopia,1855-1955,oromia,2014,"March 27th, 2015",Caturra,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0.1,Green,"March 26th, 2016",1855.0,1955.0,1905.0
Arabica,cqi q coffee sample representative,United States,meters above sea level: 1.872,antioquia,2014,"March 13th, 2015",Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,87.92,0.0,Green,"March 12th, 2016",1872.0,1872.0,1872.0
Arabica,cqi q coffee sample representative,United States,meters above sea level: 1.943,antioquia,2014,"March 13th, 2015",Other,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,87.92,0.0,Green,"March 12th, 2016",1943.0,1943.0,1943.0
Arabica,grounds for health admin,United States (Hawaii),2000 ft,kona,Sept 2009 - April 2010,"May 31st, 2010",Caturra,Washed / Wet,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,87.92,0.0,Green,"May 31st, 2011",609.6,609.6,609.6
Arabica,ethiopia commodity exchange,Ethiopia,1570-1700,oromiya,Mar-10,"August 31st, 2010",Caturra,Washed / Wet,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0.05,Green,"August 31st, 2011",1570.0,1700.0,1635.0
Arabica,cqi q coffee sample representative,United States,meters above sea level: 2.080,antioquia,2014,"March 13th, 2015",Other,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,87.58,0.0,Green,"March 12th, 2016",2080.0,2080.0,2080.0
Arabica,grounds for health admin,Indonesia,1200-1800m,sulawesi,May-August,"May 31st, 2010",Caturra,Washed / Wet,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42,0.03,Green,"May 31st, 2011",1200.0,1800.0,1500.0
Arabica,ethiopia commodity exchange,Ethiopia,1100,yirgacheffe,2009/2010,"June 16th, 2010",Caturra,Washed / Wet,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,87.33,0.05,Green,"June 16th, 2011",1750.5334541516245,1798.9861761732852,1774.759815162455
Arabica,yunnan coffee exchange,China,1450,yunnan,2015,"April 7th, 2016",Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0.1,Green,"April 7th, 2017",1450.0,1450.0,1450.0
